Price,Brand,Model,Power,Efficiency,Link
257.76,Cooler Master,MPE-C501-AFCAG-3US,1250,80+ Gold,https://amazon.com/dp/B0BVRS87FL?tag=pcbuilder00-20
209.99,Cooler Master,MPG-7501-AFBAP-XUS,750,80+ Platinum,https://amazon.com/dp/B09WP6CC23?tag=pcbuilder00-20
195,Cooler Master,MPG-8501-AFBAP-XUS,850,80+ Platinum,https://amazon.com/dp/B09WPBD741?tag=pcbuilder00-20
206,Cooler Master,V850,850,80+ Platinum,https://amazon.com/dp/B07NQTTGZW?tag=pcbuilder00-20
238.6,Cooler Master,MPZ-B001-SFAP-BUS,1100,80+ Platinum,https://amazon.com/dp/B0BTQN4Q13?tag=pcbuilder00-20
583.91,Cooler Master,MPZ-C002-AFBAT-US,1200,80+ Titanium,https://amazon.com/dp/B01MRCUCLP?tag=pcbuilder00-20
39.99,Coolmax,ZX-500,500,80+,https://amazon.com/dp/B0075WFDYO?tag=pcbuilder00-20
55.09,Coolmax,ZX-600,600,80+,https://amazon.com/dp/B0075WFE3Y?tag=pcbuilder00-20
61.63,Coolmax,ZX-700,700,80+,https://amazon.com/dp/B0075WFEAM?tag=pcbuilder00-20
113.33,Coolmax,ZU-1000B,1000,80+ Bronze,https://amazon.com/dp/B0075W8DQE?tag=pcbuilder00-20
29.77,Coolmax Technologies,14621,500,80+,https://amazon.com/dp/B000LM7PCS?tag=pcbuilder00-20
24.99,Coolmax Technologies,14616,400,,https://amazon.com/dp/B000BKBVT8?tag=pcbuilder00-20
371.99,Corsair,CP-9020117-NA,400,80+,https://amazon.com/dp/B01MYNN9PL?tag=pcbuilder00-20
399.99,Corsair,VS450,450,80+,https://amazon.com/dp/B078HNG7VD?tag=pcbuilder00-20
199.99,Corsair,VS500,500,80+,https://amazon.com/dp/B01N2HRRH4?tag=pcbuilder00-20
197.74,Corsair,CMPSU-550VX,550,80+,https://amazon.com/dp/B000WU2FGK?tag=pcbuilder00-20
260.39,Corsair,VS550,550,80+,https://amazon.com/dp/B078HDMFRZ?tag=pcbuilder00-20
159.99,Corsair,VS600,600,80+,https://amazon.com/dp/B01MXM83A3?tag=pcbuilder00-20
299.99,Corsair,CMPSU-650TX,650,80+,https://amazon.com/dp/B000X24ISU?tag=pcbuilder00-20
399.99,Corsair,CMPSU-800G,800,80+,https://amazon.com/dp/B004H1XXGQ?tag=pcbuilder00-20
499.99,Corsair,CMPSU-850TX,850,80+,https://amazon.com/dp/B001M3G42W?tag=pcbuilder00-20
499.99,Corsair,HX1000,1000,80+,https://amazon.com/dp/B00154QAXQ?tag=pcbuilder00-20
39.99,Corsair,CV,450,80+ Bronze,https://amazon.com/dp/B0838YLZ1H?tag=pcbuilder00-20
84.49,Corsair,CP-9020219-NA,450,80+ Bronze,https://amazon.com/dp/B09HWTHDVZ?tag=pcbuilder00-20
119,Corsair,CXM (2015),450,80+ Bronze,https://amazon.com/dp/B01B72VXE6?tag=pcbuilder00-20
